province,district,win_party,turnout,election_day,early_voting,index,더불어민주당_vote,더불어민주당_early_voting,더불어민주당_election_day,미래통합당_vote,미래통합당_early_voting,미래통합당_election_day,vote(더불어민주당 - 미래통합당),early_voting(더불어민주당 - 미래통합당),election_day(더불어민주당 - 미래통합당)
Gyeongbuk,포항시남구울릉,미래통합당,0.6581,0.4213,0.2346,221,0.34313183942194286,0.39587045383083536,0.30913518418543745,0.5583058387949181,0.49969604863221884,0.5832136826749675,-0.21517399937297527,-0.10382559480138348,-0.2740784984895301
Gyeongbuk,포항시북구,미래통합당,0.6731,0.4316,0.2385,222,0.31389141782979757,0.3675814719544016,0.2806637078878354,0.6478054978811478,0.5914095897255585,0.6717369376639096,-0.33391408005135026,-0.22382811777115685,-0.3910732297760742
Gwangju,광산구갑,더불어민주당,0.634,0.3428,0.2892,98,0.7777560076067539,0.7859991921639907,0.7573960777740529,0.0,0.0,0.0,0.7777560076067539,0.7859991921639907,0.7573960777740529
Gwangju,광산구을,더불어민주당,0.6408,0.365,0.2739,99,0.8405515229396033,0.8452185209995331,0.8227155534236719,0.0,0.0,0.0,0.8405515229396033,0.8452185209995331,0.8227155534236719
Gwangju,동구남구갑,더불어민주당,0.6735,0.338,0.3317,97,0.7723895484886718,0.793992260772611,0.7400812973705382,0.0,0.0,0.0,0.7723895484886718,0.793992260772611,0.7400812973705382
Gwangju,동구남구을,더불어민주당,0.6726,0.3079,0.3622,96,0.7227672808355827,0.7407012659329186,0.6896238552940286,0.0,0.0,0.0,0.7227672808355827,0.7407012659329186,0.6896238552940286
Gwangju,북구갑,더불어민주당,0.6633,0.3038,0.3569,92,0.5779895589488427,0.5954263692716002,0.5495756091381276,0.02373233297746261,0.017196560687862426,0.03088974283180609,0.5542572259713802,0.5782298085837377,0.5186858663063215
Gwangju,북구을,더불어민주당,0.6655,0.3454,0.3176,93,0.7882837935278993,0.7986765468240173,0.7691785283641253,0.0,0.0,0.0,0.7882837935278993,0.7986765468240173,0.7691785283641253
Gwangju,서구갑,더불어민주당,0.6486,0.3189,0.3276,95,0.8218081320871091,0.8351784960360276,0.7982449865274102,0.04202448166247569,0.034596800675517195,0.04888284808164628,0.7797836504246334,0.8005816953605104,0.7493621384457638
Gwangju,서구을,더불어민주당,0.6763,0.3407,0.3328,94,0.7583002314041405,0.779319516234255,0.7265418795554156,0.0,0.0,0.0,0.7583002314041405,0.779319516234255,0.7265418795554156
